Player,height,weight,collage,born,birth_city,birth_state
Billy Donovan,180.0,77.0,Providence College,1965.0,Rockville Centre,New York
Chris Dudley,188.0,81.0,University of Washington,1950.0,Harrisburg,Pennsylvania
Jim Farmer,193.0,86.0,University of Alabama,1964.0,Dothan,Alabama
Tellis Frank,208.0,102.0,Western Kentucky University,1965.0,Gary,Indiana
Kevin Gamble,196.0,95.0,University of Iowa,1965.0,Springfield,Illinois
Winston Garland,188.0,77.0,Missouri State University,1964.0,Gary,Indiana
Armen Gilliam,206.0,104.0,"University of Nevada, Las Vegas",1964.0,Pittsburgh,Pennsylvania
Horace Grant,208.0,97.0,Clemson University,1965.0,Augusta,Georgia
Dave Henderson,196.0,88.0,Duke University,1964.0,Henderson,North Carolina
Dave Hoppen,211.0,106.0,University of Nebraska,1964.0,Omaha,Nebraska
Dennis Hopson,196.0,90.0,Ohio State University,1965.0,Toledo,Ohio
Eddie Hughes,178.0,74.0,Colorado State University,1960.0,Greenville,Mississippi
Mark Jackson,185.0,81.0,St. John's University,1965.0,Brooklyn,New York
Michael Jackson,201.0,97.0,"California State University, Los Angeles",1949.0,Washington,District of Columbia
Kannard Johnson,206.0,99.0,Western Kentucky University,1965.0,Cincinnati,Ohio
Kevin Johnson,203.0,108.0,Michigan State University,1962.0,Tuskegee,Alabama
Bart Kofoed,193.0,95.0,University of Nebraska at Kearney,1964.0,Omaha,Nebraska
Ralph Lewis,198.0,90.0,La Salle University,1963.0,Philadelphia,Pennsylvania
Reggie Lewis,201.0,88.0,Northeastern University,1965.0,Baltimore,Maryland
Brad Lohaus,211.0,104.0,University of Iowa,1964.0,New Ulm,Minnesota
Derrick McKey,206.0,92.0,University of Alabama,1966.0,Meridian,Mississippi
Reggie Miller*,201.0,83.0,"University of California, Los Angeles",1965.0,Riverside,California
Andre Moore,206.0,97.0,Loyola University of Chicago,1964.0,Chicago,Illinois
Ron Moore,213.0,117.0,West Virginia State University,1962.0,New York,New York
Ronnie Murphy,196.0,102.0,Jacksonville University,1964.0,Dover,Delaware
Tod Murphy,206.0,99.0,"University of California, Irvine",1963.0,Long Beach,California
Martin Nessley,218.0,117.0,Duke University,1965.0,Columbus,Ohio
Ken Norman,203.0,97.0,University of Illinois at Urbana-Champaign,1964.0,Chicago,Illinois
Scottie Pippen*,203.0,95.0,University of Central Arkansas,1965.0,Hamburg,Arkansas
Olden Polynice,211.0,99.0,University of Virginia,1964.0,Port-au-Prince,Haiti
Richard Rellford,198.0,104.0,University of Michigan,1964.0,Riviera Beach,Florida
Scott Roth,203.0,96.0,University of Wisconsin,1963.0,Cleveland,Ohio
Brian Rowsom,206.0,99.0,University of North Carolina at Wilmington,1965.0,Newark,New Jersey
Kenny Smith,190.0,77.0,University of North Carolina,1965.0,Queens,New York
John Stroeder,208.0,117.0,University of Montana,1958.0,Bremerton,Washington
Mark Wade,180.0,72.0,"University of Nevada, Las Vegas",1965.0,Torrance,California
Milt Wagner,196.0,83.0,University of Louisville,1963.0,Camden,New Jersey
Jamie Waller,193.0,97.0,Virginia Union University,1964.0,South Boston,Virginia
Duane Washington,193.0,88.0,Middle Tennessee State University,1964.0,Eschwege,Germany
Chris Welp,213.0,111.0,University of Washington,1964.0,Delmenhorst,Germany
Clinton Wheeler,185.0,83.0,William Paterson University,1959.0,Neptune,New Jersey
Eric White,203.0,90.0,Pepperdine University,1965.0,San Francisco,California
Tony White,188.0,77.0,University of Tennessee,1965.0,Charlotte,North Carolina
Reggie Williams,201.0,86.0,Georgetown University,1964.0,Baltimore,Maryland
Nikita Wilson,203.0,90.0,Louisiana State University,1964.0,Pineville,Louisiana
Ricky Wilson,196.0,90.0,University of Louisville,1956.0,Louisville,Kentucky
Rickie Winslow,203.0,102.0,University of Houston,1964.0,Houston,Texas
Joe Wolf,211.0,104.0,University of North Carolina,1964.0,Kohler,Wisconsin
Phil Zevenbergen,208.0,104.0,University of Washington,1964.0,Seattle,Washington
Randy Allen,203.0,99.0,Florida State University,1965.0,Milton,Florida
Michael Anderson,180.0,83.0,Drexel University,1966.0,Philadelphia,Pennsylvania
Willie Anderson,201.0,86.0,University of Georgia,1967.0,Greenville,South Carolina
Ricky Berry,203.0,92.0,San Jose State University,1964.0,Lansing,Michigan
Anthony Bowie,198.0,86.0,University of Oklahoma,1963.0,Tulsa,Oklahoma
Scott Brooks,180.0,74.0,"University of California, Irvine",1965.0,French Camp,California
Mark Bryant,206.0,111.0,Seton Hall University,1965.0,Glen Ridge,New Jersey
Greg Butler,211.0,108.0,Stanford University,1966.0,Inglewood,California
Mike Champion,208.0,104.0,Gonzaga University,1964.0,Everett,Washington
Rex Chapman,193.0,83.0,University of Kentucky,1967.0,Bowling Green,Kentucky
Derrick Chievous,201.0,88.0,University of Missouri,1967.0,New York,New York
Mark Davis,198.0,88.0,Old Dominion University,1963.0,Chesapeake,Virginia
Vinny Del,198.0,88.0,,1963.0,,
Fennis Dembo,196.0,97.0,University of Wyoming,1966.0,Mobile,Alabama
Ledell Eackles,196.0,99.0,University of New Orleans,1966.0,Baton Rouge,Louisiana
Kevin Edwards,190.0,86.0,DePaul University,1965.0,Cleveland Heights,Ohio
Wayne Englestad,203.0,111.0,"University of California, Irvine",1966.0,Rosemead,California
Rolando Ferreira,216.0,108.0,University of Houston,1964.0,Curtiba,Brazil
Duane Ferrell,201.0,94.0,Georgia Institute of Technology,1965.0,Baltimore,Maryland
Anthony Frederick,201.0,92.0,Pepperdine University,1964.0,Los Angeles,California
Corey Gaines,190.0,88.0,Loyola Marymount University,1965.0,Los Angeles,California
Tom Garrick,188.0,83.0,University of Rhode Island,1966.0,West Warwick,Rhode Island
Ben Gillery,213.0,106.0,Georgetown University,1965.0,Detroit,Michigan
Orlando Graham,203.0,99.0,Auburn University at Montgomery,1965.0,Montgomery,Alabama
Ron Grandison,198.0,97.0,University of New Orleans,1964.0,Los Angeles,California
Gary Grant,190.0,83.0,University of Michigan,1965.0,Canton,Ohio
Harvey Grant,203.0,88.0,University of Oklahoma,1965.0,Augusta,Georgia
Sylvester Gray,198.0,104.0,University of Memphis,1967.0,Millington,Tennessee
Jeff Grayer,196.0,90.0,Iowa State University,1965.0,Flint,Michigan
Jack Haley,208.0,108.0,"University of California, Los Angeles",1964.0,Long Beach,California
Hersey Hawkins,190.0,86.0,Bradley University,1966.0,Chicago,Illinois
Tito Horford,216.0,111.0,University of Miami,1966.0,LaRomana,Dominican Republic
Avery Johnson,178.0,79.0,Southern University and A&M College,1965.0,New Orleans,Louisiana
Bill Jones,201.0,79.0,University of Iowa,1966.0,Detroit,Michigan
Shelton Jones,206.0,95.0,St. John's University,1966.0,Copaigue,New York
Steve Kerr,190.0,79.0,University of Arizona,1965.0,Beirut,Lebanon
Randolph Keys,201.0,88.0,University of Southern Mississippi,1966.0,Collins,Mississippi
Jerome Lane,198.0,104.0,University of Pittsburgh,1966.0,Akron,Ohio
Andrew Lang,211.0,111.0,University of Arkansas,1966.0,Pine Bluff,Arkansas
Eric Leckner,211.0,120.0,University of Wyoming,1966.0,Inglewood,California
Jim Les,180.0,74.0,Bradley University,1963.0,Niles,Illinois
Rob Lock,206.0,102.0,University of Kentucky,1966.0,Reedley,California
Grant Long,203.0,102.0,Eastern Michigan University,1966.0,Wayne,Michigan
Dan Majerle,198.0,97.0,Central Michigan University,1965.0,Traverse City,Michigan
Danny Manning,208.0,104.0,University of Kansas,1966.0,Hattiesburg,Mississippi
Vernon Maxwell,193.0,81.0,University of Florida,1965.0,Gainesville,Florida
Todd Mitchell,201.0,92.0,Purdue University,1966.0,Toledo,Ohio
Chris Morris,203.0,95.0,Auburn University,1966.0,Atlanta,Georgia
Richard Morton,190.0,86.0,"California State University, Fullerton",1966.0,San Francisco,California
Craig Neal,196.0,74.0,Georgia Institute of Technology,1964.0,Muncie,Indiana
Jose Ortiz,208.0,102.0,Oregon State University,1963.0,Albonito,Puerto Rico
Will Perdue,213.0,108.0,Vanderbilt University,1965.0,Melbourne,Florida
Tim Perry,206.0,90.0,Temple University,1965.0,Freehold,New Jersey
Dave Popson,208.0,99.0,University of North Carolina,1964.0,Kingston,Pennsylvania
Dominic Pressley,188.0,77.0,Boston College,1964.0,Washington,District of Columbia
Mitch Richmond*,196.0,97.0,Kansas State University,1965.0,Fort Lauderdale,Florida
Ramon Rivas,208.0,117.0,Temple University,1966.0,Carolina,Puerto Rico
David Rivers,183.0,77.0,University of Notre Dame,1965.0,Jersey City,New Jersey
Rob Rose,196.0,81.0,George Mason University,1964.0,Rochester,New York
Jim Rowinski,203.0,113.0,Purdue University,1961.0,Long Island,New York
Rony Seikaly,211.0,104.0,Syracuse University,1965.0,Beirut,Lebanon
Charles Shackleford,208.0,102.0,North Carolina State University,1966.0,Kinston,North Carolina
John Shasky,211.0,106.0,University of Minnesota,1964.0,Birmingham,Michigan
Brian Shaw,198.0,86.0,"University of California, Santa Barbara",1966.0,Oakland,California
Keith Smart,185.0,79.0,Indiana University,1964.0,Baton Rouge,Louisiana
Charles Smith,208.0,104.0,University of Pittsburgh,1965.0,Bridgeport,Connecticut
Rik Smits,224.0,113.0,Marist College,1966.0,Eindhoven,Netherlands
John Starks,190.0,81.0,Oklahoma State University,1965.0,Tulsa,Oklahoma
Everette Stephens,188.0,79.0,Purdue University,1966.0,Evanston,Illinois
Rod Strickland,196.0,90.0,Jacksonville University,1940.0,Jacksonville,Florida
Barry Sumpter,211.0,97.0,Austin Peay State University,1965.0,Brooklyn,Illinois
Anthony Taylor,193.0,79.0,University of Oregon,1965.0,Los Angeles,California
Tom Tolbert,201.0,106.0,University of Arizona,1965.0,Long Beach,California
Kelvin Upshaw,188.0,81.0,University of Utah,1963.0,Chicago,Illinois
Morlon Wiley,193.0,83.0,"California State University, Long Beach",1966.0,New Orleans,Louisiana
Micheal Williams,188.0,82.0,Lincoln University of Missouri,1945.0,Seattle,Washington
David Wood,206.0,102.0,"University of Nevada, Reno",1964.0,Spokane,Washington
Nick Anderson,198.0,92.0,University of Illinois at Urbana-Champaign,1968.0,Chicago,Illinois
Michael Ansley,201.0,102.0,University of Alabama,1967.0,Birmingham,Alabama
B.J. Armstrong,201.0,102.0,,1967.0,,
Dana Barros,180.0,73.0,Boston College,1967.0,Boston,Massachusetts
Kenny Battle,198.0,95.0,University of Illinois at Urbana-Champaign,1964.0,Aurora,Illinois
Winston Bennett,201.0,95.0,University of Kentucky,1965.0,Louisville,Kentucky
Mookie Blaylock,183.0,81.0,University of Oklahoma,1967.0,Garland,Texas
Chucky Brown,201.0,97.0,North Carolina State University,1968.0,New York,New York
Raymond Brown,203.0,99.0,University of Idaho,1965.0,Atlanta,Georgia
Stanley Brundy,198.0,95.0,DePaul University,1967.0,New Orleans,Louisiana
Torgeir Bryn,206.0,113.0,Texas State University,1964.0,Oslo,Norway
Steve Bucknall,198.0,97.0,University of North Carolina,1966.0,London,United Kingdom
Adrian Caldwell,203.0,120.0,Lamar University,1966.0,Falls County,Texas
Lanard Copeland,198.0,86.0,Georgia State University,1965.0,Atlanta,Georgia
Terry Davis,206.0,102.0,Virginia Union University,1967.0,Danville,Virginia
Byron Dinkins,185.0,77.0,University of North Carolina at Charlotte,1967.0,Charlotte,North Carolina
Vlade Divac,216.0,110.0,,1968.0,Prijepolje,Serbia
Sherman Douglas,183.0,81.0,Syracuse University,1966.0,Washington,District of Columbia
Terry Dozier,206.0,95.0,University of South Carolina,1966.0,Baltimore,Maryland
Blue Edwards,193.0,90.0,East Carolina University,1965.0,Washington,District of Columbia
Jay Edwards,213.0,102.0,University of Washington,1955.0,Seattle,Washington
Sean Elliott,203.0,92.0,University of Arizona,1968.0,Tucson,Arizona
Pervis Ellison,206.0,95.0,University of Louisville,1967.0,Savannah,Georgia
Derrick Gervin,203.0,90.0,University of Texas at San Antonio,1963.0,Detroit,Michigan
Greg Grant,170.0,63.0,Trenton State University,1966.0,Trenton,New Jersey
Scott Haffner,190.0,81.0,University of Evansville,1966.0,Terre Haute,Indiana
Tom Hammonds,206.0,97.0,Georgia Institute of Technology,1967.0,Fort Walton,Florida
Tim Hardaway,183.0,79.0,University of Texas at El Paso,1966.0,Chicago,Illinois
Mike Higgins,206.0,99.0,University of Northern Colorado,1967.0,Grand Island,Nebraska
Ed Horton,203.0,104.0,University of Iowa,1967.0,Springfield,Illinois
Byron Irvin,196.0,86.0,University of Missouri,1966.0,LaGrange,Illinois
Jaren Jackson,193.0,86.0,Georgetown University,1967.0,New Orleans,Louisiana
Eric Johnson,188.0,92.0,University of Nebraska,1966.0,Brooklyn,New York
Nate Johnston,203.0,95.0,University of Tampa,1966.0,Birmingham,Alabama
Shawn Kemp,208.0,104.0,Trinity Valley Community College,1969.0,Elkhart,Indiana
Stan Kimbrough,180.0,69.0,Xavier University,1966.0,Tuscaloosa,Alabama
Stacey King,211.0,104.0,University of Oklahoma,1967.0,Lawton,Oklahoma
Frank Kornet,206.0,102.0,Vanderbilt University,1967.0,Lexington,Kentucky
Jeff Lebo,188.0,81.0,University of North Carolina,1966.0,Carlisle,Pennsylvania
Tim Legler,193.0,90.0,La Salle University,1966.0,Washington,District of Columbia
Gary Leonard,216.0,113.0,University of Missouri,1967.0,Belleville,Illinois
Clifford Lett,190.0,77.0,University of Florida,1965.0,Pensacola,Florida
Todd Lichti,193.0,92.0,Stanford University,1967.0,Walnut Creek,California
Roy Marble,198.0,86.0,University of Iowa,1966.0,Flint,Michigan
Sarunas Marciulionis*,196.0,90.0,,1964.0,Kaunas,Lithuania
Jeff Martin,196.0,88.0,Murray State University,1967.0,Cherry Valley,Arkansas
Anthony Mason,201.0,113.0,Tennessee State University,1966.0,Miami,Florida
Bob McCann,198.0,110.0,Morehead State University,1964.0,Morristown,New Jersey
Mel McCants,203.0,108.0,Purdue University,1967.0,Chicago,Illinois
George McCloud,198.0,92.0,Florida State University,1967.0,Daytona Beach,Florida
Carlton McKinney,193.0,86.0,Southern Methodist University,1964.0,San Diego,California
Scott Meents,208.0,102.0,University of Illinois at Urbana-Champaign,1964.0,Kankakee,Illinois
Sam Mitchell,198.0,95.0,Mercer University,1963.0,Columbus,Georgia
Mike Morrison,193.0,88.0,Loyola College in Maryland,1967.0,Washington,District of Columbia
John Morton,190.0,81.0,Seton Hall University,1967.0,Bronx,New York
Dyron Nix,201.0,95.0,University of Tennessee,1967.0,Meridian,Mississippi
Zarko Paspalj,206.0,97.0,,1966.0,Pljevlja,Montenegro
Kenny Payne,203.0,88.0,University of Louisville,1966.0,Laurel,Mississippi
Drazen Petrovic*,196.0,88.0,,1964.0,Sibenik,Croatia
Brian Quinnett,203.0,106.0,Washington State University,1966.0,Pullman,Washington
J.R. Reid,203.0,106.0,,1966.0,,
Glen Rice,201.0,97.0,University of Michigan,1967.0,Jacksonville,Arkansas
Pooh Richardson,185.0,81.0,"University of California, Los Angeles",1966.0,Philadelphia,Pennsylvania
Clifford Robinson,206.0,99.0,University of Southern California,1960.0,Oakland,California
David Robinson*,216.0,106.0,United States Naval Academy,1965.0,Key West,Florida
Doug Roth,211.0,115.0,University of Tennessee,1967.0,Knoxville,Tennessee
Donald Royal,203.0,95.0,University of Notre Dame,1966.0,New Orleans,Louisiana
Delaney Rudd,188.0,81.0,Wake Forest University,1962.0,Halifax,North Carolina
Jeff Sanders,203.0,102.0,Georgia Southern University,1966.0,Augusta,Georgia
Dexter Shouse,188.0,90.0,University of South Alabama,1963.0,Terre Haute,Indiana
Michael Smith,208.0,102.0,Brigham Young University,1965.0,Rochester,New York
Jay Taylor,190.0,86.0,Eastern Illinois University,1967.0,Aurora,Illinois
Leonard Taylor,203.0,99.0,University of California,1966.0,Los Angeles,California
Henry Turner,188.0,88.0,University of Nebraska,1938.0,,
Gary Voce,206.0,108.0,University of Notre Dame,1965.0,Jamaica,
Alexander Volkov,208.0,98.0,,1964.0,Omsk,Russia
Doug West,198.0,90.0,Villanova University,1967.0,Altoona,Pennsylvania
Randy White,203.0,108.0,Louisiana Tech University,1967.0,Shreveport,Louisiana
Mike Williams,188.0,82.0,Lincoln University of Missouri,1945.0,Seattle,Washington
Haywoode Workman,188.0,81.0,Oral Roberts University,1966.0,Charlotte,North Carolina
Alaa Abdelnaby,208.0,108.0,Duke University,1968.0,Cairo,Egypt
Mahmoud Abdul-Rauf,188.0,83.0,"University of California, Los Angeles",1942.0,Wilmington,Delaware
Keith Askins,201.0,89.0,University of Alabama,1967.0,Athens,Alabama
Milos Babic,213.0,108.0,Tennessee Technological University,1968.0,Kraljevo,Serbia
Cedric Ball,203.0,95.0,University of North Carolina at Charlotte,1968.0,Worcester,Massachusetts
Lance Blanks,193.0,86.0,University of Texas at Austin,1966.0,Del Rio,Texas
Anthony Bonner,203.0,97.0,Saint Louis University,1968.0,St. Louis,Missouri
Dee Brown,185.0,72.0,Jacksonville University,1968.0,Jacksonville,Florida
Jud Buechler,198.0,99.0,University of Arizona,1968.0,San Diego,California
Matt Bullard,208.0,97.0,University of Iowa,1967.0,Des Moines,Iowa
Willie Burton,203.0,95.0,University of Minnesota,1968.0,Detroit,Michigan
Rick Calloway,198.0,81.0,University of Kansas,1966.0,Cincinnati,Ohio
Elden Campbell,211.0,97.0,Clemson University,1968.0,Los Angeles,California
Duane Causwell,213.0,108.0,Temple University,1968.0,Queens Village,New York
Cedric Ceballos,198.0,86.0,"California State University, Fullerton",1969.0,Maui,Hawaii
Richard Coffey,198.0,96.0,University of Minnesota,1965.0,Aurora,North Carolina
Derrick Coleman,208.0,104.0,Syracuse University,1967.0,Mobile,Alabama
Bimbo Coles,185.0,81.0,Virginia Polytechnic Institute and State University,1968.0,Covington,Virginia
Anthony Cook,206.0,92.0,University of Arizona,1967.0,Los Angeles,California
Tony Dawson,201.0,97.0,Florida State University,1967.0,Kinston,North Carolina
Mario Elie,196.0,95.0,American International College,1963.0,New York,New York
A.J. English,196.0,95.0,,1963.0,,
Danny Ferry,208.0,104.0,Duke University,1966.0,Hyattsville,Maryland
Greg Foster,211.0,108.0,University of Texas at El Paso,1968.0,Oakland,California
Tate George,196.0,86.0,University of Connecticut,1968.0,Newark,New Jersey
Kendall Gill,196.0,88.0,University of Illinois at Urbana-Champaign,1968.0,Chicago,Illinois
Gerald Glass,196.0,100.0,University of Mississippi,1967.0,Greenwood,Mississippi
Dan Godfread,208.0,113.0,University of Evansville,1967.0,Fort Wayne,Indiana
Jim Grandholm,213.0,106.0,University of South Florida,1960.0,Elkhart,Indiana
Tony Harris,190.0,86.0,University of New Orleans,1967.0,Monroe,Louisiana
Steve Henson,180.0,80.0,Kansas State University,1968.0,Junction City,Kansas
Sean Higgins,206.0,92.0,University of Michigan,1968.0,Los Angeles,California
Tyrone Hill,206.0,108.0,Xavier University,1968.0,Cincinnati,Ohio
Dave Jamerson,196.0,86.0,Ohio University,1967.0,Clarksburg,West Virginia
Henry James,203.0,99.0,St. Mary's University,1965.0,Centreville,Alabama
Les Jepsen,213.0,107.0,University of Iowa,1967.0,Bowbells,North Dakota
Alec Kessler,211.0,104.0,University of Georgia,1967.0,Minneapolis,Minnesota
Bo Kimble,193.0,86.0,Loyola Marymount University,1966.0,Philadelphia,Pennsylvania
Negele Knight,185.0,79.0,University of Dayton,1967.0,Detroit,Michigan
Kurk Lee,190.0,86.0,Towson University,1967.0,Baltimore,Maryland
Marcus Liberty,203.0,92.0,University of Illinois at Urbana-Champaign,1968.0,Chicago,Illinois
Ian Lockhart,203.0,108.0,University of Tennessee,1967.0,Nassau,Bahamas
Tony Massenburg,206.0,99.0,University of Maryland,1967.0,Sussex,Virginia
Travis Mays,188.0,86.0,University of Texas at Austin,1968.0,Ocala,Florida
Terry Mills,208.0,104.0,University of Michigan,1967.0,Romulus,Michigan
Chris Munk,206.0,102.0,University of Southern California,1967.0,San Francisco,California
Jerrod Mustaf,208.0,107.0,University of Maryland,1969.0,Whiteville,North Carolina
Dan O'Sullivan,208.0,113.0,Fordham University,1968.0,Bronx,New York
Alan Ogg,218.0,108.0,University of Alabama at Birmingham,1967.0,Lancaster,Ohio
Brian Oliver,193.0,95.0,Georgia Institute of Technology,1968.0,Chicago,Illinois
Gerald Paddio,201.0,92.0,"University of Nevada, Las Vegas",1965.0,Lafayette,Louisiana
Walter Palmer,216.0,97.0,Dartmouth College,1968.0,Ithaca,New York
Gary Payton*,193.0,81.0,Oregon State University,1968.0,Oakland,California
Kevin Pritchard,190.0,81.0,University of Kansas,1967.0,Bloomington,Indiana
Larry Robinson,190.0,81.0,Centenary College of Louisiana,1968.0,Bossier City,Louisiana
Rumeal Robinson,188.0,88.0,University of Michigan,1966.0,Mandeville,Jamaica
Steve Scheffler,206.0,113.0,Purdue University,1967.0,Grand Rapids,Michigan
Dwayne Schintzius,216.0,117.0,University of Florida,1968.0,Brandon,Florida
Dennis Scott,203.0,103.0,Georgia Institute of Technology,1968.0,Hagerstown,Maryland
Lionel Simmons,201.0,95.0,La Salle University,1968.0,Philadelphia,Pennsylvania
Tony Smith,201.0,95.0,,1968.0,,
Felton Spencer,213.0,120.0,University of Louisville,1968.0,Louisville,Kentucky
Irving Thomas,203.0,102.0,Florida State University,1966.0,Brooklyn,New York
Andy Toolson,198.0,95.0,Brigham Young University,1966.0,Chicago,Illinois
Loy Vaught,206.0,104.0,University of Michigan,1968.0,Grand Rapids,Michigan
Stojko Vrankovic,218.0,117.0,,1964.0,Drnis,Croatia
Jayson Williams,206.0,108.0,St. John's University,1968.0,Ritter,South Carolina
Kenny Williams,188.0,79.0,St. John's University,1961.0,New York,New York
Scott Williams,208.0,104.0,University of North Carolina,1968.0,Hacienda Heights,California
Trevor Wilson,201.0,95.0,"University of California, Los Angeles",1968.0,Los Angeles,California
Kennard Winchester,196.0,95.0,Averett University,1966.0,Chestertown,Maryland
Howard Wright,190.0,83.0,Austin Peay State University,1947.0,Louisville,Kentucky
A.J. Wynder,190.0,83.0,,1947.0,,
Victor Alexander,206.0,120.0,Iowa State University,1969.0,Detroit,Michigan
Kenny Anderson,183.0,76.0,Georgia Institute of Technology,1970.0,Queens,New York
Greg Anthony,183.0,79.0,"University of Nevada, Las Vegas",1967.0,Las Vegas,Nevada
Stacey Augmon,203.0,92.0,"University of Nevada, Las Vegas",1968.0,Pasadena,California
Isaac Austin,208.0,115.0,Arizona State University,1969.0,Gridley,California
Steve Bardo,196.0,86.0,University of Illinois at Urbana-Champaign,1968.0,Henderson,Kentucky
David Benoit,203.0,99.0,University of Alabama,1968.0,Lafayette,Louisiana
Terrell Brandon,180.0,81.0,University of Oregon,1970.0,Portland,Oregon
Kevin Brooks,198.0,90.0,University of Louisiana at Lafayette,1969.0,Beaufort,South Carolina
Myron Brown,190.0,81.0,Slippery Rock University of Pennsylvania,1969.0,McKees Rocks,Pennsylvania
Randy Brown,203.0,99.0,University of Idaho,1965.0,Atlanta,Georgia
Demetrius Calip,185.0,74.0,University of Michigan,1969.0,Flint,Michigan
Pete Chilcutt,208.0,104.0,University of North Carolina,1968.0,Sumter,South Carolina
Marty Conlon,208.0,101.0,Providence College,1968.0,Bronx,New York
Tom Copa,208.0,124.0,Marquette University,1964.0,Robbinsdale,Minnesota
Chris Corchiani,183.0,83.0,North Carolina State University,1968.0,Coral Gables,Florida
Corey Crowder,196.0,97.0,Kentucky Wesleyan College,1969.0,Carrollton,Georgia
Dale Davis,211.0,104.0,Clemson University,1969.0,Toccoa,Georgia
Bison Dele,206.0,106.0,University of Arizona,1969.0,Fresno,California
Patrick Eddie,211.0,108.0,University of Mississippi,1967.0,Milwaukee,Wisconsin
LeRon Ellis,208.0,95.0,St. John's University,1940.0,Far Rockaway,New York
Rick Fox,201.0,104.0,University of North Carolina,1969.0,Toronto,Canada
Chris Gatling,208.0,99.0,Old Dominion University,1967.0,Elizabeth,New Jersey
Paul Graham,198.0,90.0,Ohio University,1967.0,Philadelphia,Pennsylvania
Sean Green,196.0,95.0,Iona College,1970.0,Santa Monica,California
Carl Herrera,206.0,97.0,University of Houston,1966.0,Trinidad,Trinidad and Tobago
Donald Hodge,213.0,104.0,Temple University,1969.0,Washington,District of Columbia
Brian Howard,198.0,92.0,North Carolina State University,1967.0,Winston-Salem,North Carolina
Cedric Hunter,183.0,81.0,University of Kansas,1965.0,Wichita Falls,Texas
Mike Iuzzolino,178.0,79.0,Saint Francis University,1968.0,Altoona,Pennsylvania
Rich King,218.0,117.0,University of Nebraska,1969.0,Lincoln,Nebraska
Doug Lee,196.0,90.0,Purdue University,1964.0,Washington,Illinois
Luc Longley,218.0,120.0,University of New Mexico,1969.0,Melbourne,Australia
Kevin Lynch,196.0,88.0,University of Minnesota,1968.0,Bloomington,Minnesota
Mark Macon,196.0,83.0,Temple University,1969.0,Saginaw,Michigan
Tharon Mayes,190.0,79.0,Florida State University,1968.0,New Haven,Connecticut
Rodney Monroe,190.0,83.0,North Carolina State University,1968.0,Baltimore,Maryland
Tracy Moore,193.0,90.0,University of Tulsa,1965.0,Oklahoma City,Oklahoma
Eric Murdock,185.0,86.0,Providence College,1968.0,Somerville,New Jersey
Dikembe Mutombo*,218.0,111.0,Georgetown University,1966.0,Kinshasa,Democratic Republic of the Congo
Jimmy Oliver,196.0,92.0,Purdue University,1969.0,Menifee,Arkansas
Billy Owens,203.0,99.0,Syracuse University,1969.0,Carlisle,Pennsylvania
Keith Owens,201.0,102.0,"University of California, Los Angeles",1969.0,San Francisco,California
Robert Pack,188.0,81.0,University of Southern California,1969.0,New Orleans,Louisiana
Elliot Perry,183.0,68.0,University of Memphis,1969.0,Memphis,Tennessee
Bobby Phills,196.0,95.0,Southern University and A&M College,1969.0,Baton Rouge,Louisiana
Mark Randall,203.0,106.0,University of Kansas,1967.0,Edina,Minnesota
Stanley Roberts,213.0,129.0,Louisiana State University,1970.0,Hopkins,South Carolina
Doug Smith,188.0,86.0,University of Minnesota,1920.0,Minnesota,
LaBradford Smith,203.0,97.0,Alcorn State University,1958.0,Rolling Fork,Mississippi
Steve Smith,201.0,90.0,Michigan State University,1969.0,Highland Park,Michigan
Larry Stewart,203.0,99.0,Coppin State University,1968.0,Philadelphia,Pennsylvania
Derek Strong,203.0,99.0,Xavier University,1968.0,Los Angeles,California
Lamont Strothers,193.0,86.0,Christopher Newport University,1968.0,Nansemond County,Virginia
Greg Sutton,188.0,77.0,Oral Roberts University,1967.0,Santa Cruz,California
Carl Thomas,193.0,79.0,Eastern Michigan University,1969.0,Dayton,Ohio
Charles Thomas,190.0,79.0,Eastern Michigan University,1969.0,Dayton,Ohio
Stephen Thompson,193.0,83.0,Syracuse University,1968.0,Los Angeles,California
John Turner,203.0,111.0,Phillips University,1967.0,Washington,District of Columbia
Joao Vianna,206.0,97.0,,1966.0,Trabajara,Brazil
Eric Anderson,206.0,99.0,Indiana University,1970.0,Chicago,Illinois
Anthony Avent,206.0,106.0,Seton Hall University,1969.0,Rocky Mount,North Carolina
Jon Barry,193.0,88.0,Georgia Institute of Technology,1969.0,Oakland,California
Tony Bennett,183.0,79.0,University of Wisconsin-Green Bay,1969.0,Green Bay,Wisconsin
Alex Blackwell,198.0,113.0,Monmouth University,1970.0,Toms River,New Jersey
Ricky Blanton,201.0,97.0,Louisiana State University,1966.0,Miami,Florida
Walter Bond,196.0,90.0,University of Minnesota,1969.0,Chicago,Illinois
Dexter Cambridge,201.0,101.0,University of Texas at Austin,1970.0,Eleuthra,Bahamas
Doug Christie,198.0,90.0,Pepperdine University,1970.0,Seattle,Washington
Duane Cooper,185.0,83.0,University of Southern California,1969.0,Benton Harbor,Michigan
Joe Courtney,203.0,106.0,University of Southern Mississippi,1969.0,Jackson,Mississippi
John Crotty,185.0,83.0,University of Virginia,1969.0,Orange,New Jersey
Radisav Curcic,208.0,124.0,,1965.0,Cacak,Serbia
Lloyd Daniels,201.0,92.0,Mount San Antonio College,1967.0,Brooklyn,New York
